Tiempo (min);Entrada;Salida
0;0,00000000000;293,15
0,02;382,80212449642;383,15
0,04;382,80212449642;380,5732916
0,06;382,80212449642;383,15
0,08;382,80212449642;383,15
0,1;382,80212449642;382,0755064
0,12;382,80212449642;380,3934455
0,14;300,18579758779;301,1216006
0,16;300,18579758779;302,4973547
0,18;300,18579758779;301,4830514
0,2;300,18579758779;302,3021036
0,22;300,18579758779;302,2563729
0,24;300,18579758779;300,2474425
0,26;332,99104427979;337,4542795
0,28;332,99104427979;331,8528055
0,3;332,99104427979;326,7782726
0,32;332,99104427979;328,6002496
0,34;332,99104427979;339,2220349
0,36;302,74874931625;301,8896864
0,38;302,74874931625;300,2098504
0,4;302,74874931625;300,5969517
0,42;302,74874931625;300,8886763
0,44;302,74874931625;301,7216747
0,46;302,74874931625;301,694509
0,48;379,72082727696;379,5446398
0,5;379,72082727696;383,15
0,52;379,72082727696;380,4534425
0,54;379,72082727696;383,15
0,56;379,72082727696;382,6555494
0,58;293,56708017207;295,1288681
0,6;293,56708017207;293,15
0,62;293,56708017207;293,15
0,64;293,56708017207;293,3237474
0,66;362,89194182404;359,4081456
0,68;362,89194182404;370,1685627
0,7;362,89194182404;366,5170849
0,72;362,89194182404;361,2485445
0,74;362,89194182404;360,3011234
0,76;366,70728985881;366,7279897
0,78;366,70728985881;369,5926137
0,8;366,70728985881;366,3545547
0,82;366,70728985881;363,1357656
0,84;366,70728985881;364,3209242
0,86;371,33252348272;371,743756
0,88;371,33252348272;375,5089295
0,9;371,33252348272;371,6760102
0,92;371,33252348272;374,7488846
0,94;371,33252348272;370,1802745
0,96;371,33252348272;371,7487903
0,98;300,74922609598;301,6895658
1;300,74922609598;296,0550866
1,02;300,74922609598;294,0673766
1,04;300,74922609598;302,513076
1,06;300,74922609598;300,7643688
1,08;300,74922609598;304,9390643
1,1;329,13043841890;329,4268319
1,12;329,13043841890;328,3743422
1,14;329,13043841890;327,9387771
1,16;329,13043841890;331,6916103
1,18;316,53833625656;318,6245209
1,2;316,53833625656;319,7572368
1,22;316,53833625656;323,2290001
1,24;316,53833625656;318,9667185
1,26;316,53833625656;311,6260285
1,28;316,53833625656;317,4610178
1,3;365,15616322019;370,4000703
1,32;365,15616322019;362,498563
1,34;365,15616322019;365,579339
1,36;365,15616322019;360,9178988
1,38;365,15616322019;366,8432104
1,4;365,15616322019;364,1321131
1,42;331,97724447172;327,5543981
1,44;331,97724447172;334,2451928
1,46;331,97724447172;339,2112781
1,48;331,97724447172;334,514209
1,5;331,97724447172;331,9234266
1,52;375,10828349866;383,15
1,54;375,10828349866;373,4873591
1,56;375,10828349866;379,1272445
1,58;375,10828349866;378,0295873
1,6;375,10828349866;378,0029422
1,62;375,10828349866;375,8561047
1,64;309,51623254726;305,7291409
1,66;309,51623254726;312,1435866
1,68;309,51623254726;310,7437396
1,7;309,51623254726;305,568233
1,72;309,51623254726;318,9188236
1,74;316,89226248698;322,4028034
1,76;316,89226248698;317,5728322
1,78;316,89226248698;313,8327593
1,8;316,89226248698;315,4909138
1,82;316,89226248698;316,4840993
1,84;306,24850823463;306,7811924
1,86;306,24850823463;304,1016295
1,88;306,24850823463;304,0043826
1,9;306,24850823463;305,2064897
1,92;306,24850823463;303,9754994
1,94;306,24850823462;310,4979996
1,96;305,39617028378;303,0885975
1,98;305,39617028378;307,948329
2;305,39617028378;312,7824829
2,02;305,39617028378;302,9720698
2,04;305,39617028378;307,5562994
2,06;371,38629868761;370,0072644
2,08;371,38629868761;371,1845959
2,1;371,38629868761;367,6128351
2,12;371,38629868761;377,5117223
2,14;371,38629868761;372,2561929
2,16;371,38629868761;371,5472682
2,18;345,32341286290;345,9202749
2,2;345,32341286290;345,4177297
2,22;345,32341286290;342,5597055
2,24;345,32341286290;345,5206491
2,26;345,32341286290;349,2297693
2,28;345,32341286290;352,6413414
2,3;342,63741816527;343,428715
2,32;342,63741816527;335,5598145
2,34;342,63741816527;347,7234095
2,36;342,63741816527;342,8078677
2,38;306,19593184014;311,0526141
2,4;306,19593184014;309,7992009
2,42;306,19593184014;306,3402918
2,44;306,19593184014;304,1561427
2,46;306,19593184014;311,1382832
2,48;306,19593184014;304,1963991
2,5;369,92280059497;368,4889236
2,52;369,92280059497;373,62885
2,54;369,92280059497;371,7113694
2,56;369,92280059497;365,4769578
2,58;369,92280059497;369,9120175
2,6;369,92280059497;370,0404222
2,62;349,13496183366;349,2613735
2,64;349,13496183366;350,8441979
2,66;349,13496183366;345,269491
2,68;349,13496183366;348,3337903
2,7;349,13496183366;345,2768981
2,72;324,73571428030;327,691065
2,74;324,73571428030;329,0572105
2,76;324,73571428030;324,6555604
2,78;324,73571428030;326,4506418
2,8;324,73571428030;327,4585051
2,82;324,73571428030;326,7912877
2,84;339,34245858804;341,7313185
2,86;339,34245858804;339,2187554
2,88;339,34245858804;341,1925219
2,9;339,34245858804;335,8370837
2,92;339,34245858804;341,4334411
2,94;329,31272303768;333,7075852
2,96;329,31272303768;329,2544559
2,98;329,31272303768;329,8450405
3;329,31272303768;335,9748766
3,02;329,31272303768;329,1849939
3,04;299,98700225218;301,0565241
3,06;299,98700225218;302,8747056
3,08;299,98700225218;297,7312799
3,1;299,98700225218;301,3790072
3,12;299,98700225218;304,1228127
3,14;314,74245381983;316,5889397
3,16;314,74245381983;315,9025308
3,18;314,74245381983;310,1338995
3,2;314,74245381983;311,6860097
3,22;314,74245381983;308,7702286
3,24;304,24870413517;301,5927902
3,26;304,24870413517;305,7757812
3,28;304,24870413517;304,536532
3,3;304,24870413517;301,677167
3,32;304,24870413517;312,3940835
3,34;309,70170094542;308,3374215
3,36;309,70170094542;310,4235894
3,38;309,70170094542;310,2109836
3,4;309,70170094542;310,7592579
3,42;309,70170094542;312,9585438
3,44;314,74572730984;308,0621544
3,46;314,74572730984;310,3795603
3,48;314,74572730984;309,8948292
3,5;314,74572730984;316,4691895
3,52;330,70403621759;331,1579099
3,54;330,70403621759;331,1450523
3,56;330,70403621759;331,4054655
3,58;330,70403621759;334,7578952
3,6;297,61889872932;296,9265042
3,62;297,61889872932;293,15
3,64;297,61889872932;294,7820967
3,66;297,61889872932;294,483014
3,68;297,61889872932;293,8651385
3,7;374,39444989238;375,1314801
3,72;374,39444989238;369,921868
3,74;374,39444989238;374,0236707
3,76;374,39444989238;379,177017
3,78;374,39444989238;370,9342733
3,8;378,18084707495;377,4597341
3,82;378,18084707495;375,5204527
3,84;378,18084707495;375,0505617
3,86;378,18084707495;383,15
3,88;378,18084707495;376,5527437
3,9;378,18084707495;374,76426
3,92;337,32776832213;334,1328324
3,94;337,32776832213;335,371277
3,96;337,32776832213;338,4059455
3,98;337,32776832213;335,0567205
4;337,32776832213;341,3291272
4,02;337,18273745600;336,8299
4,04;337,18273745600;338,5936863
4,06;337,18273745600;333,7530904
4,08;337,18273745600;336,0200096
4,1;337,18273745600;338,6543665
4,12;337,18273745600;334,9918301
4,14;323,54474688392;321,4992982
4,16;323,54474688392;323,6678128
4,18;323,54474688392;323,8388845
4,2;323,54474688392;319,858505
4,22;374,15484617759;375,2277088
4,24;374,15484617759;378,7309768
4,26;374,15484617759;379,9636447
4,28;374,15484617759;369,382943
4,3;374,15484617759;379,5651856
4,32;326,38221030082;332,0525548
4,34;326,38221030082;328,1540033
4,36;326,38221030082;324,1733998
4,38;326,38221030082;328,8982134
4,4;326,38221030082;327,3569515
4,42;303,15824797644;299,8559906
4,44;303,15824797644;302,4138138
4,46;303,15824797644;302,3553131
4,48;303,15824797644;305,8876297
4,5;303,15824797644;304,0075169
4,52;363,37268614890;360,9416021
4,54;363,37268614890;367,5232803
4,56;363,37268614890;367,6063154
4,58;363,37268614890;364,1688487
4,6;363,37268614890;365,6802393
4,62;363,37268614890;364,9622196
4,64;328,22649532651;329,0331846
4,66;328,22649532651;323,2355294
4,68;328,22649532651;332,4221608
4,7;328,22649532651;325,4888244
4,72;314,90221573225;314,5055021
4,74;314,90221573225;317,6158727
4,76;314,90221573225;319,2758604
4,78;314,90221573225;310,8011908
4,8;314,90221573225;314,1034875
4,82;329,50209310293;325,4343164
4,84;329,50209310293;333,9626602
4,86;329,50209310293;329,2923658
4,88;329,50209310293;327,8887348
4,9;329,50209310293;323,1407509
4,92;301,83090726516;298,1731319
4,94;301,83090726516;300,5689354
4,96;301,83090726516;307,2259906
4,98;301,83090726516;301,9122512
5;301,83090726516;301,2738097
5,02;301,83090726516;302,9934498
5,04;305,02759633457;305,0295115
5,06;305,02759633457;305,9426831
5,08;305,02759633457;307,6239676
5,1;305,02759633457;305,7144366
5,12;305,02759633457;307,597581
5,14;377,93455316979;377,9626549
5,16;377,93455316979;376,559221
5,18;377,93455316979;381,8396747
5,2;377,93455316979;379,4695175
5,22;377,93455316979;375,8191312
5,24;377,93455316979;375,6671907
5,26;379,20210862068;383,15
5,28;379,20210862068;380,7701504
5,3;379,20210862068;371,945325
5,32;379,20210862068;378,7544512
5,34;344,91877355706;348,7115148
5,36;344,91877355706;346,591316
5,38;344,91877355706;343,3820229
5,4;344,91877355706;346,1308235
5,42;344,91877355706;338,5417595
5,44;344,91877355706;347,6757236
5,46;298,53015886524;302,1530065
5,48;298,53015886524;296,9282104
5,5;298,53015886524;299,8111395
5,52;298,53015886524;304,3245473
5,54;298,53015886524;297,5639577
5,56;314,28019220352;317,0747859
5,58;314,28019220352;315,022724
5,6;314,28019220352;315,4192949
5,62;314,28019220352;323,1499866
5,64;314,28019220352;319,3853365
5,66;324,93427140999;322,8067147
5,68;324,93427140999;322,1405291
5,7;324,93427140999;321,0549623
5,72;324,93427140999;326,932398
5,74;367,05746361782;372,7671932
5,76;367,05746361782;365,5082281
5,78;367,05746361782;366,2655254
5,8;367,05746361782;370,2676896
5,82;367,05746361782;369,7486796
5,84;294,53630938864;297,9807653
5,86;294,53630938864;296,9956203
5,88;294,53630938864;294,7604694
5,9;294,53630938864;293,9222818
5,92;294,53630938864;293,2124319
5,94;294,53630938864;295,0890425
5,96;297,02214214920;294,9900238
5,98;297,02214214920;297,6906849
6;297,02214214920;295,699689
6,02;297,02214214920;294,3086852
6,04;297,02214214920;298,6644397
6,06;308,35910265164;311,5246318
6,08;308,35910265164;316,2398479
6,1;308,35910265164;312,538935
6,12;308,35910265164;304,8146188
6,14;308,35910265164;311,0557488
6,16;351,57039274608;345,9567885
6,18;351,57039274608;351,3898302
6,2;351,57039274608;351,7453314
6,22;351,57039274608;352,7506039
6,24;351,57039274608;354,0543558
6,26;359,00501470928;361,4572872
6,28;359,00501470928;358,6030952
6,3;359,00501470928;361,7459054
6,32;359,00501470928;359,2370497
6,34;359,00501470928;357,7366888
6,36;351,44713668227;351,3900031
6,38;351,44713668227;346,0148023
6,4;351,44713668227;354,5316588
6,42;351,44713668227;352,1239249
6,44;351,44713668227;355,9846581
6,46;333,73313357879;333,930014
6,48;333,73313357879;326,3533253
6,5;333,73313357879;337,14846
6,52;333,73313357879;334,1851494
6,54;333,73313357879;338,7294384
6,56;342,38080030577;344,2427348
6,58;342,38080030577;339,2329124
6,6;342,38080030577;339,6238883
6,62;342,38080030577;344,241237
6,64;342,38080030577;345,6977283
6,66;319,81887250470;319,9690992
6,68;319,81887250470;319,929665
6,7;319,81887250470;319,7442275
6,72;319,81887250470;317,6390713
6,74;319,81887250470;323,8119452
6,76;319,81887250470;318,7663158
6,78;360,17235263667;358,0721621
6,8;360,17235263667;357,03582
6,82;360,17235263667;364,0418221
6,84;360,17235263667;359,0273737
6,86;360,17235263667;358,3984348
6,88;360,17235263667;359,3533772
6,9;310,15595135293;307,9368515
6,92;310,15595135293;309,6189466
6,94;310,15595135293;309,0241199
6,96;310,15595135293;308,6633042
6,98;310,15595135293;309,7937048
7;354,95978900288;358,0453066
7,02;354,95978900288;349,5520018
7,04;354,95978900288;355,658632
7,06;354,95978900288;351,1343912
7,08;354,95978900288;344,0591714
7,1;309,66600401635;309,3537436
7,12;309,66600401635;312,4875815
7,14;309,66600401635;313,1390699
7,16;309,66600401635;312,8124284
7,18;326,31361368413;327,8494682
7,2;326,31361368413;322,7519928
7,22;326,31361368413;330,0913972
7,24;326,31361368413;323,1987891
7,26;326,31361368413;325,8692931
7,28;349,45567046567;349,8867904
7,3;349,45567046567;346,4956711
7,32;349,45567046567;348,4833925
7,34;349,45567046567;346,3177284
7,36;349,45567046567;356,6137057
7,38;349,45567046568;346,5835766
7,4;363,37046916362;363,4033471
7,42;363,37046916362;362,1911001
7,44;363,37046916362;362,4703466
7,46;363,37046916362;362,7241267
7,48;300,45131919792;301,504846
7,5;300,45131919792;303,6332989
7,52;300,45131919792;294,386599
7,54;300,45131919792;301,4478166
7,56;300,45131919792;301,6515685
7,58;300,45131919792;298,8626103
7,6;376,79473738719;370,5213877
7,62;376,79473738719;383,15
7,64;376,79473738719;375,3087659
7,66;376,79473738719;379,7484712
7,68;376,79473738718;376,8425586
